Neighborhood,Borough,Longitude,Latitude,Borough_code,venue_count,category_count
Brownsville,Brooklyn,-73.91243506631507,40.66339254180318,1,16.0,0.3611111111111111
Bull's Head,Staten Island,-74.15960250000006,40.605034620904185,4,20.0,0.45
Bushwick,Brooklyn,-73.92136425564843,40.694755214999915,1,20.0,0.4
Cambria Heights,Queens,-73.73801693971164,40.692701694035094,3,10.0,0.26666666666666666
Canarsie,Brooklyn,-73.89999955431972,40.639945535692476,1,14.0,0.3235294117647059
Carroll Gardens,Brooklyn,-73.99627696357602,40.6793165,1,100.0,0.4666666666666667
Castle Hill,Bronx,-73.84851563120861,40.818853004929295,0,9.0,0.27586206896551724
Castleton Corners,Staten Island,-74.12243399999994,40.617782,4,6.0,0.23076923076923078
Central Park,Manhattan,-73.96548266216679,40.78240342686726,2,66.0,0.313953488372093
Charleston,Staten Island,-74.23262181867855,40.541978177155784,4,3.0,0.13043478260869565
Chelsea,Manhattan,-74.00004051938203,40.74618150032883,2,91.0,0.5315315315315315
"Chelsea, Staten Island",Staten Island,-74.19203611176097,40.58976299776911,4,17.0,0.32432432432432434
Chinatown,Manhattan,-73.996344,40.71605886962759,2,100.0,0.39166666666666666
City Island,Bronx,-73.78591597045053,40.85964280442211,0,25.0,0.4888888888888889
City Island,Bronx,-73.78671733288186,40.84747403663731,0,25.0,0.4888888888888889
Civic Center,Manhattan,-74.003192,40.714339500000165,2,95.0,0.5565217391304348
Claremont Village,Bronx,-73.90621825294187,40.83867950000028,0,5.0,0.16
Clason Point,Bronx,-73.8653376755124,40.81330623120978,0,10.0,0.23333333333333334
Clifton,Staten Island,-74.07755821511148,40.62013757841276,4,7.0,0.2222222222222222
Clinton Hill,Brooklyn,-73.96450523170344,40.68900950000008,1,34.0,0.4074074074074074
Co-op City,Bronx,-73.82693477232837,40.87229612828537,0,29.0,0.4897959183673469
Cobble Hill,Brooklyn,-73.995463,40.687658526439,1,100.0,0.475
College Point,Queens,-73.84198945112098,40.7817827162531,3,43.0,0.49206349206349204
Columbia St,Brooklyn,-74.00700916627468,40.686116905614966,1,31.0,0.5294117647058824
Concord,Staten Island,-74.07900099999998,40.602646500000134,4,20.0,0.375
Concourse,Bronx,-73.92420918410576,40.82847050000024,0,71.0,0.5384615384615384
Concourse Village,Bronx,-73.91719117874288,40.827299128869576,0,29.0,0.5510204081632653
Coney Island,Brooklyn,-73.99227271572619,40.576449997243365,1,20.0,0.375
