Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Roosevelt Island,-38.454421087422105,28.12521440941443,2,3101.1666666666665,3079.055555555555,3069.060129641848,3372.0473843347245,2874.046028138528,3101.1666666666665,4
Rosebank,-38.51747594810521,28.022922443320766,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Rosedale,-38.345148276540186,28.05489054624016,3,,1839.0580808080806,,,1898.814918229918,1898.814918229918,2
Rossville,-38.58699754,27.98005269000013,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Schuylerville,-38.39296745446784,28.17735383416558,0,,1616.6666666666667,,,1651.7954559483728,1651.7954559483728,0
Sea Gate,-38.484022374889385,27.998034104458373,1,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Sheepshead Bay,-38.45222151605384,28.012136806857896,1,1700.25,1690.138888888889,1757.0861397428573,1760.3666364906107,1730.1359156645824,1700.25,1
Shore Acres,-38.5146559713088,28.01946960757464,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Silver Lake,-38.53117788000003,28.030667640000075,4,,1637.7575757575758,,,1666.585380190797,1666.585380190797,0
SoHo,-38.4827558163886,28.099494017748526,2,,3680.861111111111,,,4130.060045062962,4130.060045062962,4
Soundview,-38.41313696316878,28.16974931083085,0,1505.5,1533.5,1553.7052191992498,1684.3333622549071,1543.4051988135323,1505.5,0
South Beach,-38.52430298389164,28.005347734502344,4,,1811.5185185185185,,,1739.0006619769122,1739.0006619769122,2
South Brother Island,-38.42695469753721,28.149499579725273,0,,2080.416666666667,,,1987.244138022471,1987.244138022471,3
South Ozone Park,-38.38251716000001,28.064257073510458,3,,1830.530303030303,,,1908.3303980278981,1908.3303980278981,3
South Slope,-38.47216074000008,28.058630259822614,1,,2654.8888888888887,,,2775.821402116402,2775.821402116402,4
Springfield Gardens,-38.359221513936916,28.062802238375482,3,,1830.530303030303,,,1908.3303980278981,1908.3303980278981,3
Spuyten Duyvil,-38.437159871274616,28.20801247671807,0,,1774.8333333333333,,,1737.7014652477153,1737.7014652477153,2
St. Albans,-38.35761514,28.080932627529332,3,,1830.530303030303,,,1908.3303980278981,1908.3303980278981,3
St. George,-38.52148098909459,28.04319671083216,4,,1665.229797979798,,,1711.988332090749,1711.988332090749,1
Stapleton,-38.519871549157706,28.035025310499268,4,,1637.7575757575758,,,1666.585380190797,1666.585380190797,0
Stuyvesant Town,-38.468034750451835,28.104947260142477,2,,3278.0833333333335,,,3973.7786958566126,3973.7786958566126,4
Sunnyside,-38.43905053676653,28.109843760000086,3,1910.4166666666667,2261.185185185185,1997.6787323354501,1838.9129979015895,2181.653402692986,1910.4166666666667,3
Sunset Park,-38.486236231227544,28.049996350678004,1,1706.0,2159.194444444445,1763.0509545576724,2240.239486010454,2045.331061423145,1706.0,1
Theater District,-38.47214296704635,28.12361365893794,2,,3742.472222222222,,,4130.060045062962,4130.060045062962,4
Throgs Neck,-38.384338398378524,28.165809163466324,0,,1576.8333333333333,,,1595.5858525733524,1595.5858525733524,0
Todt Hill,-38.53543693999996,28.01012703000019,4,,1658.027777777778,,,1711.988332090749,1711.988332090749,1
Tompkinsville,-38.52556474,28.033945140000057,4,,1637.7575757575758,,,1666.585380190797,1666.585380190797,0
Tottenville,-38.60107585441965,27.95100748072618,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Tremont,-38.42466452576491,28.18320829900425,0,1600.0,1562.0833333333333,1564.2926069084658,,1560.519241622575,1600.0,0
Tribeca,-38.48475170916179,28.09580502000007,2,4947.333333333333,3346.1388888888887,4687.095399002117,4250.736145602578,3926.6909445338615,4947.333333333333,4
Two Bridges,-38.47876106308045,28.090291932762174,2,,3046.6666666666665,,,3049.836114117364,3049.836114117364,4
Unionport,-38.401950576613956,28.173698078627172,0,,1575.0,,,1595.5858525733524,1595.5858525733524,0
University Heights,-38.43323249696078,28.192129342902582,0,1570.2727272727273,1639.1742424242423,1536.199186708889,1641.1522959220747,1664.1409809603977,1570.2727272727273,0
Upper East Side,-38.45790463436814,28.13341140889047,2,2917.75,3107.5833333333335,2994.3546582613762,3380.197858516254,2944.0036824595154,2917.75,4
Upper West Side,-38.4681955330282,28.14279867186751,2,3303.8333333333335,3358.25,3298.5213249280428,3393.7483844084336,4020.8428492957664,3303.8333333333335,4
Van Cortlandt Park,-38.419566788576724,28.21900396617573,0,,1696.0277777777776,,,1740.6819387926892,1740.6819387926892,2
Van Nest,-38.40972964472682,28.18358318753916,0,,1591.6666666666667,,,1599.9447558922557,1599.9447558922557,0
Vinegar Hill,-38.47108543153272,28.084453472439154,1,,3503.361111111111,,,4098.976711729628,4098.976711729628,4
Wakefield,-38.40319379490557,28.218461376565035,0,,1561.1944444444443,1587.0341193688218,,1552.8520408449576,1552.8520408449576,0
Washington Heights,-38.44685468674343,28.18294691665819,2,1853.1666666666667,1706.788888888889,1926.0213249280428,2296.9366408752303,1788.822451659452,1853.1666666666667,2
West Brighton,-38.538009900000034,28.033130595000056,4,,1637.7575757575758,,,1666.585380190797,1666.585380190797,0
West Farms,-38.41655584170211,28.18124668500007,0,,1564.3333333333333,,,1563.0381810165143,1563.0381810165143,0
West Village,-38.482908800542674,28.107393167135307,2,3864.5,4049.5277777777774,3775.725028631746,3679.0771086892937,4111.152108555025,3864.5,4
Westchester Square,-38.400527334390496,28.180401250196795,0,,1616.6666666666667,,,1651.7954559483728,1651.7954559483728,0
Westerleigh,-38.5519524,28.026674265000054,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Whitestone,-38.38247149983704,28.14338088687582,3,,1736.527777777778,,,1735.2590816498318,1735.2590816498318,1
Williamsbridge,-38.404718805550694,28.205552970000138,0,1475.0,1561.1944444444443,1531.794837720212,1675.999107658872,1552.8520408449576,1475.0,0
Williamsburg,-38.45159227837859,28.09103332500008,1,3040.6666666666665,2639.972222222222,3187.475028631746,2437.9351945957214,2782.26962962963,3040.6666666666665,4
Willowbrook,-38.5523112,28.01459478000016,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Windsor Terrace,-38.46955454021983,28.05140549537691,1,2315.25,2171.027777777778,2302.4856106423285,2347.8208248198944,2119.2043506647674,2315.25,4
Woodhaven,-38.405554271364515,28.077475646310535,3,1741.5,1691.2222222222224,1793.5127949568257,1907.728150683914,1752.9132148468816,1741.5,2
Woodlawn,-38.41229774320813,28.215132895602036,0,1650.0,1561.1944444444443,,,1555.3709802388971,1650.0,0
Woodrow,-38.584281059999995,27.973605910361226,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Woodside,-38.42884791517754,28.116392064743316,3,1783.5833333333333,1841.138888888889,1867.973260782963,1825.1900138605029,1867.370010622094,1783.5833333333333,2
