Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Bronx Park,-38.41555409076404,28.19342384700449,0,,1548.2777777777776,,,1545.9241382074717,1545.9241382074717,0
Bronxdale,-38.40884747051301,28.18921778115176,0,,1574.3333333333333,,,1595.5858525733524,1595.5858525733524,0
Brooklyn Heights,-38.47855828952489,28.08060854904214,1,3299.25,3176.638888888889,3012.789843446561,2425.169725223842,3148.6395334295335,3299.25,4
Brownsville,-38.434466234483835,28.05774085384419,1,1588.5,1805.0833333333333,1581.8223187663493,1794.3251968562822,1689.0783910533912,1588.5,0
Bull's Head,-38.56299330000003,28.017473888423886,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Bushwick,-38.439109412937185,28.07938109834994,1,2430.0833333333335,2191.2500000000005,2260.17873233545,2163.689286587256,2179.113680470764,2430.0833333333335,4
Cambria Heights,-38.343768808650054,28.07796416888421,3,,1830.530303030303,,,1908.3303980278981,1908.3303980278981,3
Canarsie,-38.42799976824626,28.041562419627805,1,1660.0,1665.861111111111,1469.397418860106,1783.2669554904257,1696.4037266313935,1660.0,0
Carroll Gardens,-38.47806402105953,28.068728384999996,1,2673.1666666666665,2793.805555555555,2721.8824360391536,2858.7197392726516,2705.7067504409174,2673.1666666666665,4
Castle Hill,-38.40122812822848,28.165008573401213,0,1550.0,1533.5,1629.5704830051855,1691.510448419102,1543.4051988135323,1550.0,0
Castleton Corners,-38.54366567999997,28.026269579999997,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Central Park,-38.46205098432673,28.13985836453841,2,,3096.4166666666665,,,3101.8759553872055,3101.8759553872055,4
Charleston,-38.60096334571285,27.97396494223749,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Chelsea,-38.48002107007866,28.11486523522689,2,4273.083333333333,4049.5277777777774,3941.752806409524,3483.551203998032,4111.152108555025,4273.083333333333,4
"Chelsea, Staten Island",-38.57985877811571,28.006936468460683,4,,1658.027777777778,,,1711.988332090749,1711.988332090749,1
Chinatown,-38.47809888,28.094080620043034,2,2343.3333333333335,2812.8611111111113,2632.829525986244,3931.140826895874,2731.1023853615525,2343.3333333333335,4
City Island,-38.36888465886643,28.188955310165497,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Civic Center,-38.48165984,28.09289425500011,2,,3346.1388888888887,,,3973.7786958566126,3973.7786958566126,4
Claremont Village,-38.431233491529774,28.178688855000193,0,,1609.8242424242424,,,1651.7954559483728,1651.7954559483728,0
Clason Point,-38.409975591266445,28.161181299534746,0,,1533.5,,,1545.9241382074717,1545.9241382074717,0
Clifton,-38.52033027185797,28.0278949291048,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Clinton Hill,-38.46154272048579,28.075416555000054,1,2722.0,2791.1111111111113,2584.465769372487,2253.7816414050003,2855.301005291006,2722.0,4
Co-op City,-38.39000608161076,28.201884328516904,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Cobble Hill,-38.47764076,28.074484383242908,1,2777.0833333333335,2728.694444444445,2864.246633570018,2978.2697483916136,2724.961710758377,2777.0833333333335,4
College Point,-38.39783451458291,28.139430074214633,3,,1742.388888888889,,,1734.8021133958634,1734.8021133958634,1
Columbia St,-38.48364476646284,28.073420664874323,1,,2635.527777777778,,,2775.821402116402,2775.821402116402,4
Concord,-38.52108051999999,28.01582608500009,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Concourse,-38.440588775735,28.171644645000164,0,1608.0,1814.2333333333333,1620.494003041299,1626.4147523165957,1706.1530960798461,1608.0,0
