,Neighborhood,Longitude,Latitude,Borough_code,Arrests,Arrests (log)
47,Clason Point,-38.409975591266445,28.161181299534746,0,0.466546419741003,-0.33110513898196353
48,Clifton,-38.52033027185797,28.0278949291048,4,0.5827338464800975,-0.2345297563861761
49,Clinton Hill,-38.46154272048579,28.075416555000054,1,2.2824241407355106,0.3583963521176392
50,Co-op City,-38.39000608161076,28.201884328516904,0,0.5348215055567596,-0.2717911377659816
51,Cobble Hill,-38.47764076,28.074484383242908,1,0.11978085230834482,-0.9216126009905466
52,College Point,-38.39783451458291,28.139430074214633,3,0.866015562189333,-0.062474303696016024
53,Columbia St,-38.48364476646284,28.073420664874323,1,0.05330247927721344,-1.2732525900096152
54,Concord,-38.52108051999999,28.01582608500009,4,0.08085207530813275,-1.092308828159522
55,Concourse,-38.440588775735,28.171644645000164,0,1.0133460105285972,0.0057577620484767274
56,Concourse Village,-38.4369394129463,28.170836398920006,0,2.667519580906839,0.42610761604349134
57,Coney Island,-38.47598181217762,27.99775049809792,1,2.4363425359517334,0.3867383475961789
58,Corona,-38.406469485711824,28.112857538891365,3,1.1864293421141554,0.07424187888401904
59,Country Club,-38.38583416674157,28.180486995000056,0,0.03114302160016965,-1.5066392530197288
60,Crotona Park,-38.42529785304547,28.17891859651498,0,1.204396469960407,0.08076947394221388
61,Crown Heights,-38.446844075611864,28.06379123356,1,9.815441942407316,0.9919098585797169
62,Cunningham Park,-38.358304507945604,28.106416466983216,3,0.016170415061626548,-1.7912788324955407
63,Cypress Hills,-38.420045661387114,28.07134006617083,1,5.097274169981613,0.7073379938609866
64,DUMBO,-38.474794921432526,28.085290751653222,1,0.03174192586171137,-1.4983667270537389
65,Ditmars Steinway,-38.432336100165074,28.137351470354748,3,0.18027018272405895,-0.7440761010606846
66,Dongan Hills,-38.52783734877716,28.002185802085197,4,0.11738523526217792,-0.9303865252980518
67,Douglaston,-38.34701437331549,28.126374926159677,3,0.016170415061626548,-1.7912788324955407
68,Downtown Brooklyn,-38.47269151689459,28.079258975205903,1,1.9697961162107305,0.29442127682812663
69,Dyker Heights,-38.486243570907256,28.027035190500566,1,0.19584169352414377,-0.7080948439942419
70,East Elmhurst,-38.41713248402041,28.12663767,3,0.414441748986873,-0.38253650219777025
71,East Flatbush,-38.443958140718344,28.047676315403223,1,2.5447442072907855,0.40564413443498637
72,East Harlem,-38.45001208267427,28.15279933333137,2,11.221669148507283,1.0500574601350574
73,East Morrisania,-38.42102004000004,28.175490360000115,0,1.710470570963164,0.23311560644960874
74,East New York,-38.417381499174695,28.054252157057622,1,6.057916605494539,0.7823232904522953
75,East Village,-38.47076582762571,28.10141287033675,2,1.0019668295593043,0.000853344307866447
76,Eastchester,-38.38569700522989,28.209816502270403,0,0.05869261763108896,-1.2314165209620331
77,Edenwald,-38.39721165930299,28.21177170950222,0,1.8811582855025553,0.2744253397439767
78,Edgemere,-38.363756610017255,28.013104576564334,3,0.9534555843744247,-0.020699533252877805
80,Elmhurst,-38.41652990853109,28.107559525473807,3,1.256501140714537,0.09916288720301099
81,Eltingville,-38.56082583058306,27.977300224433456,4,0.0622860432003393,-1.2056092573557475
82,Emerson Hill,-38.54821698,28.01708741479611,4,0.04911014944642137,-1.3088287442708113
83,Far Rockaway,-38.35113316935858,28.015098602826086,3,2.23031946998138,0.34836707565477687
84,Ferry Point Park,-38.39254291119865,28.161225505621402,0,0.17787456567789206,-0.7498861473373156
85,Fieldston,-38.429177985913896,28.216047179398398,0,0.08264878809275793,-1.0827635102532913
86,Financial District,-38.484067504792066,28.087645137230407,2,0.45456833451016854,-0.3424008207590477
87,Flatbush,-38.458576810170676,28.042944953851876,1,4.90143247645747,0.6903230240495757
88,Flatiron District,-38.47417405468313,28.11166039887463,2,1.4056283018384264,0.14787049294406454
89,Flatlands,-38.44473386,28.029449938644355,1,1.6152447933780298,0.20823834979836317
90,Floral Park,-38.328582480361455,28.11179281630659,3,0.10780276707751033,-0.967370091551222
91,Floyd Bennett Field,-38.425659517968526,28.00790603666424,1,0.017368223584709998,-1.7602445987555717
92,Flushing,-38.38515089140561,28.116450248809404,3,2.4081940356592724,0.381691476448383
93,Flushing Meadows Corona Park,-38.39681533061955,28.108636570289434,3,0.24315513018593998,-0.6141165630773339
94,Fordham,-38.424620895126395,28.194312782144877,0,3.422138950449411,0.5342976393921961
95,Forest Hills,-38.39930305496661,28.097128674048385,3,0.807322944558244,-0.09295270445522699
96,Forest Park,-38.41235029113823,28.08002436059859,3,0.09642358610821758,-1.015816720622678
97,Fort Greene,-38.4670279516849,28.07609862,1,0.9696259994360512,-0.013395747901154316
98,Fort Hamilton,-38.49573939410686,28.023957177352948,1,0.25034198132444063,-0.6014663148794928
99,Fort Wadsworth,-38.51038523008094,28.014423224706093,4,0.03593425569250344,-1.4444913462708844
100,Fresh Meadows,-38.3675352813153,28.109444962289476,3,0.12097866083142826,-0.9172912272079041
101,Freshkills Park,-38.57340878632636,28.000226702729545,4,0.040725489784837234,-1.3901336839482916
102,Gerritsen Beach,-38.44180279854018,28.009959137917413,1,0.052703575015671716,-1.2781599245043593
103,Glen Oaks,-38.331992920000076,28.118770236665746,3,0.1119950969083024,-0.950800990118029
104,Glendale,-38.41646849749762,28.084835732171033,3,0.0970224903697593,-1.013127582111897
106,Gowanus,-38.474542743321074,28.066008928348527,1,0.12397318213913688,-0.9066722511976103
107,Gramercy,-38.47226357624986,28.107459245690997,2,0.9989723082515958,-0.0004465503528081072
108,Graniteville,-38.561251300000045,28.026290970000076,4,0.7474325184040717,-0.12642801130812284
109,Grant City,-38.535944475689014,27.999540401192927,4,0.37910639755591136,-0.42123888663717285
110,Gravesend,-38.471308512541725,28.01023076706879,1,0.6540034536035627,-0.18441995828580957
111,Great Kills,-38.5594681001993,27.9815423727627,4,0.05390138353875516,-1.268400087215203
112,Great Kills Park,-38.546093846282325,27.97486903701459,4,0.0005989042615417241,-3.222642596654528
