,Neighborhood,Borough,Longitude,Latitude,Borough_code,Calls,Calls (log)
30,Broad Channel,Queens,-73.82728076405513,40.60689438698541,3,37,1.5682017240669948
31,Broad Channel,Queens,-73.82706274932323,40.609121251353514,3,37,1.5682017240669948
32,Broad Channel,Queens,-73.79936414583466,40.6071227381719,3,37,1.5682017240669948
33,Broad Channel,Queens,-73.83310274764548,40.607931188685455,3,37,1.5682017240669948
34,Broad Channel,Queens,-73.79075506557393,40.61519944873007,3,37,1.5682017240669948
35,Broad Channel,Queens,-73.8006592262227,40.62034810411967,3,37,1.5682017240669948
36,Broad Channel,Queens,-73.81377321749315,40.62379559929256,3,37,1.5682017240669948
37,Broad Channel,Queens,-73.8244637262307,40.61727000521662,3,37,1.5682017240669948
38,Bronx Park,Bronx,-73.87606555916162,40.86003456087607,0,628,2.7979596437371956
39,Bronxdale,Bronx,-73.86316821252501,40.853938813263426,0,2648,3.422917980767662
40,Brooklyn Heights,Brooklyn,-73.99722747985555,40.69653412904658,1,358,2.553883026643874
41,Brownsville,Brooklyn,-73.91243506631507,40.66339254180318,1,7765,3.890141460064577
42,Bull's Head,Staten Island,-74.15960250000006,40.605034620904185,4,259,2.4132997640812515
43,Bushwick,Brooklyn,-73.92136425564843,40.694755214999915,1,11000,4.0413926851582245
44,Cambria Heights,Queens,-73.73801693971164,40.692701694035094,3,696,2.842609239610562
45,Canarsie,Brooklyn,-73.89999955431972,40.639945535692476,1,2334,3.368100851709351
46,Carroll Gardens,Brooklyn,-73.99627696357602,40.6793165,1,320,2.505149978319906
47,Castle Hill,Bronx,-73.84851563120861,40.818853004929295,0,780,2.8920946026904804
48,Castleton Corners,Staten Island,-74.12243399999994,40.617782,4,395,2.59659709562646
49,Central Park,Manhattan,-73.96548266216679,40.78240342686726,2,1241,3.0937717814987296
50,Charleston,Staten Island,-74.23262181867855,40.541978177155784,4,86,1.9344984512435675
51,Chelsea,Manhattan,-74.00004051938203,40.74618150032883,2,2593,3.4138025167693513
52,"Chelsea, Staten Island",Staten Island,-74.19203611176097,40.58976299776911,4,96,1.9822712330395682
53,Chinatown,Manhattan,-73.996344,40.71605886962759,2,629,2.7986506454452686
54,City Island,Bronx,-73.78591597045053,40.85964280442211,0,121,2.08278537031645
55,City Island,Bronx,-73.78671733288186,40.84747403663731,0,121,2.08278537031645
56,Civic Center,Manhattan,-74.003192,40.714339500000165,2,344,2.53655844257153
57,Claremont Village,Bronx,-73.90621825294187,40.83867950000028,0,3174,3.5016069224188286
58,Clason Point,Bronx,-73.8653376755124,40.81330623120978,0,1412,3.1498346967157844
59,Clifton,Staten Island,-74.07755821511148,40.62013757841276,4,896,2.952308009662125
60,Clinton Hill,Brooklyn,-73.96450523170344,40.68900950000008,1,5917,3.772101569277011
61,Co-op City,Bronx,-73.82693477232837,40.87229612828537,0,305,2.484299839346786
